filename,rule_of_thirds,leading_lines,framing,symmetry,patterns,golden_ratio,layers,negative_space,fill_the_frame
0001.jpg,0,0,0,0,0,0,0,1,0
0002.jpg,1,0,0,0,1,0,0,1,0
0003.jpg,1,0,0,0,0,0,1,0,0
0004.jpg,1,0,0,0,0,0,1,0,0
0005.jpg,1,0,0,0,0,0,0,1,0
0006.jpg,1,0,0,0,0,0,1,0,0
0007.jpg,0,0,0,1,0,0,0,0,0
0008.jpg,1,0,0,0,0,0,0,0,0
0009.jpg,1,0,0,0,0,0,1,1,0
0010.jpg,1,0,0,0,0,0,0,0,0
0011.jpg,1,0,0,0,1,0,0,0,0
0012.jpg,1,0,0,0,0,0,0,0,0
0013.jpg,1,0,0,0,0,0,0,1,0
0014.jpg,0,0,0,1,0,0,1,1,0
0015.jpg,1,0,0,0,0,0,0,1,0
0016.jpg,1,0,0,0,0,0,0,0,0
0017.jpg,1,0,0,0,0,0,0,1,0
0018.jpg,1,0,0,0,0,0,1,1,0
0019.jpg,0,0,0,0,0,0,0,0,0
0020.jpg,1,0,0,0,0,0,0,0,0
0021.jpg,1,0,1,0,0,0,0,0,0
0022.jpg,0,1,0,0,0,0,0,0,0
0023.jpg,0,0,1,0,0,0,0,0,0
0024.jpg,1,0,0,0,0,0,0,0,0
0025.jpg,1,1,0,0,0,0,0,1,0
0026.jpg,1,1,0,0,0,0,0,0,0
0027.jpg,1,0,0,0,0,0,0,0,0
0028.jpg,1,0,0,0,0,0,0,0,0
0029.jpg,0,0,0,0,0,0,1,0,0
0030.jpg,1,0,1,0,0,0,0,1,0
0031.jpg,0,0,0,0,0,0,0,1,0
0032.jpg,0,0,0,0,0,0,1,0,0
0033.jpg,1,0,0,0,0,0,0,0,0
0034.jpg,1,0,0,0,0,0,0,0,0
0035.jpg,1,0,0,0,0,0,0,1,0
0036.jpg,0,0,0,0,0,0,1,1,0
0037.jpg,0,0,0,0,0,0,0,1,0
0038.jpg,0,0,0,0,0,0,1,1,0
0039.jpg,1,0,0,0,0,0,1,0,0
0040.jpg,0,0,0,0,0,0,1,0,0
0041.jpg,1,0,0,0,0,0,0,1,0
0042.jpg,1,0,0,0,0,0,0,0,0
0043.jpg,1,0,0,0,0,0,0,0,0
0044.jpg,1,1,0,0,0,0,0,0,0
0045.jpg,1,0,0,0,0,0,0,0,0
0046.jpg,1,0,1,0,0,0,0,0,0
0047.jpg,0,1,0,0,0,0,0,0,0
0048.jpg,0,1,0,1,1,0,0,0,0
0049.jpg,0,0,1,0,0,0,0,1,0
0050.jpg,0,0,0,0,0,0,0,0,0
0051.jpg,0,0,0,0,1,0,0,1,0
0052.jpg,1,0,1,0,0,0,0,0,0
