filename,natural_light,artificial_light
0001.jpg,1,0
0002.jpg,1,0
0003.jpg,1,0
0004.jpg,1,0
0005.jpg,1,0
0006.jpg,1,0
0007.jpg,1,0
0008.jpg,1,0
0009.jpg,1,0
0010.jpg,1,0
0011.jpg,1,0
0012.jpg,1,0
0013.jpg,1,0
0014.jpg,1,0
0015.jpg,1,0
0016.jpg,1,0
0017.jpg,1,0
0018.jpg,1,0
0019.jpg,1,0
0020.jpg,1,0
0021.jpg,1,0
0022.jpg,1,0
0023.jpg,1,0
0024.jpg,1,0
0025.jpg,1,0
0026.jpg,1,0
0027.jpg,1,0
0028.jpg,1,0
0029.jpg,1,0
0030.jpg,1,0
0031.jpg,1,0
0032.jpg,1,0
0033.jpg,1,0
0034.jpg,1,0
0035.jpg,1,0
0036.jpg,1,0
0037.jpg,1,0
0038.jpg,1,0
0039.jpg,1,0
0040.jpg,1,0
0041.jpg,1,0
0042.jpg,1,0
0043.jpg,1,0
0044.jpg,1,0
0045.jpg,1,0
0046.jpg,1,0
0047.jpg,1,0
0048.jpg,1,0
0049.jpg,1,0
0050.jpg,1,0
0051.jpg,1,0
0052.jpg,1,0
0053.jpg,1,0
0054.jpg,1,0
0055.jpg,1,0
0056.jpg,1,0
0057.jpg,1,0
0058.jpg,1,0
0059.jpg,1,0
0060.jpg,1,0
0061.jpg,1,0
0062.jpg,1,0
0063.jpg,1,0
0064.jpg,1,0
0065.jpg,1,0
0066.jpg,1,0
0067.jpg,1,0
0068.jpg,1,0
0069.jpg,1,0
0070.jpg,1,0
0071.jpg,1,0
0072.jpg,1,0
0073.jpg,1,0
0074.jpg,1,0
0075.jpg,1,0
0076.jpg,1,0
0077.jpg,1,0
0078.jpg,1,0
0079.jpg,1,0
0080.jpg,1,0
0081.jpg,1,0
0082.jpg,1,0
0083.jpg,1,0
0084.jpg,1,0
0085.jpg,1,0
0086.jpg,1,0
0087.jpg,1,0
0088.jpg,1,0
0089.jpg,1,0
0090.jpg,1,0
0091.jpg,1,0
0092.jpg,1,0
0093.jpg,1,0
0094.jpg,1,0
0095.jpg,1,0
0096.jpg,1,0
0097.jpg,1,0
0098.jpg,1,0
0099.jpg,1,0
0100.jpg,1,0
0101.jpg,0,1
0102.jpg,0,1
0103.jpg,0,1
0104.jpg,0,1
0105.jpg,0,1
0106.jpg,0,1
0107.jpg,0,1
0108.jpg,0,1
0109.jpg,0,1
0110.jpg,0,1
0111.jpg,0,1
0112.jpg,0,1
0113.jpg,0,1
0114.jpg,0,1
0115.jpg,0,1
0116.jpg,0,1
0117.jpg,0,1
0118.jpg,0,1
0119.jpg,0,1
0120.jpg,0,1
0121.jpg,0,1
0122.jpg,0,1
0123.jpg,0,1
0124.jpg,0,1
0125.jpg,0,1
0126.jpg,0,1
0127.jpg,0,1
0128.jpg,0,1
0129.jpg,0,1
0130.jpg,1,1
0131.jpg,0,1
0132.jpg,0,1
0133.jpg,0,1
0134.jpg,0,1
0135.jpg,1,1
0136.jpg,0,1
0137.jpg,0,1
0138.jpg,0,1
0139.jpg,0,1
0140.jpg,0,1
0141.jpg,0,1
0142.jpg,0,1
0143.jpg,0,1
0144.jpg,0,1
0145.jpg,0,1
0146.jpg,0,1
0147.jpg,1,1
0148.jpg,0,1
0149.jpg,0,1
0150.jpg,0,1
0151.jpg,1,1
0152.jpg,0,1
0153.jpg,0,1
0154.jpg,0,1
0155.jpg,0,1
0156.jpg,0,1
0157.jpg,0,1
0158.jpg,0,1
0159.jpg,0,1
0160.jpg,1,1
0161.jpg,0,1
0162.jpg,0,1
0163.jpg,0,1
0164.jpg,0,1
0165.jpg,0,1
0166.jpg,0,1
0167.jpg,0,1
0168.jpg,0,1
0169.jpg,0,1
0170.jpg,0,1
0171.jpg,0,1
0172.jpg,0,1
0173.jpg,0,1
0174.jpg,0,1
0175.jpg,0,1
0176.jpg,0,1
0177.jpg,0,1
0178.jpg,0,1
0179.jpg,0,1
0180.jpg,0,1
0181.jpg,0,1
0182.jpg,0,1
0183.jpg,0,1
0184.jpg,0,1
0185.jpg,0,1
0186.jpg,0,1
0187.jpg,0,1
0188.jpg,0,1
0189.jpg,0,1
0190.jpg,0,1
0191.jpg,1,1
0192.jpg,0,1
0193.jpg,0,1
0194.jpg,0,1
0195.jpg,1,1
0196.jpg,0,1
0197.jpg,0,1
0198.jpg,0,1
0199.jpg,0,1
0200.jpg,0,1
0201.jpg,0,1
0202.jpg,1,0
0203.jpg,1,0
0204.jpg,1,0
0205.jpg,1,0
0206.jpg,1,0
0207.jpg,1,0
0208.jpg,1,0
0209.jpg,1,0
0210.jpg,1,0
0211.jpg,1,0
0212.jpg,1,0
0213.jpg,1,0
0214.jpg,1,0
0215.jpg,1,0
0216.jpg,1,0
0217.jpg,1,0
0218.jpg,1,0
0219.jpg,1,0
0220.jpg,1,0
0221.jpg,1,0
0222.jpg,1,0
0223.jpg,1,0
0224.jpg,1,0
0225.jpg,1,0
0226.jpg,1,0
0227.jpg,1,0
0228.jpg,1,0
0229.jpg,1,0
0230.jpg,1,0
0231.jpg,1,0
0232.jpg,1,0
0233.jpg,1,0
0234.jpg,1,0
0235.jpg,1,0
0236.jpg,1,0
0237.jpg,1,0
0238.jpg,1,0
0239.jpg,1,0
0240.jpg,1,0
0241.jpg,1,0
0242.jpg,1,0
0243.jpg,1,0
0244.jpg,1,0
0245.jpg,1,0
0246.jpg,1,0
0247.jpg,1,0
0248.jpg,1,0
0249.jpg,1,0
0250.jpg,1,0
0251.jpg,1,0
0252.jpg,1,0
0253.jpg,1,0
0254.jpg,1,0
0255.jpg,1,0
0256.jpg,1,0
0257.jpg,1,0
0258.jpg,1,0
0259.jpg,1,0
0260.jpg,1,0
0261.jpg,0,1
0262.jpg,0,1
0263.jpg,1,0
0264.jpg,1,0
0265.jpg,1,0
0266.jpg,1,0
0267.jpg,1,0
